#b5b6	p3_p4	b1_4	g	Gr	r	t	u2	u3	y1_y2	y3_y4	code	status
1.9278	1.0291	3.8864	2.9733	1.9304	3.7841	1.8778	0.9689	0.9533	1.9569	1.8733	0	OK
1.9599	1.0146	3.9797	2.8957	1.9444	3.8524	1.8573	0.9908	0.9989	1.9589	1.8586	0	OK
1.9519	1.0559	3.9456	2.8466	1.9288	3.8799	1.8467	0.9859	1.0414	1.9731	1.849	0	OK
1.922	1.1246	3.8947	2.8391	1.8444	3.7812	1.9679	0.9107	0.9363	1.9025	1.8967	0	OK
1.9577	1.0135	3.7649	2.8599	1.9269	3.8025	1.8623	0.956	1.135	1.9021	1.8138	0	OK
2.0487	1.0149	3.9531	2.8599	2.0276	4.0576	1.8804	1.0038	0.9175	1.9869	1.8782	0	OK
1.9718	1.0448	3.8726	2.9467	1.9287	4.0105	1.9921	1.0279	0.9242	1.9594	1.8514	0	OK
1.9748	0.977	3.8797	2.7327	1.9595	3.6684	1.7064	1.0107	1.0037	1.9823	1.776	0	OK
1.8786	1.0405	3.6607	2.8035	1.8832	3.8081	1.9111	0.914	0.8694	1.8927	1.8583	0	OK
1.8961	0.9859	3.8561	2.9936	1.9273	3.6289	1.8928	0.9373	0.9178	1.911	1.773	0	OK
1.9546	1.0655	3.9339	2.8855	1.9962	3.9892	1.9662	0.9006	0.9131	1.9646	1.8905	0	OK
1.8899	1.0466	3.7348	2.9154	1.9713	3.7783	1.9156	0.9238	0.8912	1.9654	1.9429	0	OK
2.0162	1.1126	3.9211	2.8927	1.9577	3.9149	1.9648	0.9525	0.9522	1.9795	1.9484	0	OK
1.9415	1.0627	4.1291	3.2226	1.959	3.9608	2.1041	0.9071	0.885	1.969	1.943	0	OK
1.9305	1.0099	3.8405	2.9083	1.9207	3.6825	1.9554	0.9539	0.8197	1.9118	1.8756	0	OK
1.9133	1.0513	3.8479	2.9053	1.9531	3.9031	1.9275	0.9446	0.9609	1.9281	1.8645	0	OK
1.9256	1.0182	3.8517	3.1204	1.939	3.9682	2.0031	0.9368	0.9905	1.8986	1.8384	0	OK
1.7886	1.0241	3.6517	3.4017	1.7945	3.3875	2.1336	0.9144	0.9201	1.8008	1.794	0	OK
1.6899	1.064	3.6495	3.9961	1.7966	3.4066	2.6986	0.8758	0.8008	1.7967	1.9083	0	OK
1.9628	1.0004	3.8271	2.9212	1.9019	3.7978	1.9221	0.9817	0.9148	1.9045	1.866	0	OK
1.7734	1.0327	3.5666	3.6291	1.6511	3.2217	2.1452	0.9256	0.9846	1.7239	1.7913	0	OK
